id,name,code,slug,status,created,modified,provider_id,latency,cost,inference,realtime_sts
183,verse,verse,verse,t,2026-02-07 07:26:05.173392+00,2026-02-07 07:26:05.173398+00,7,,0.00,f,t
5,Nova,nova,Nova,t,2025-07-05 09:48:28.215508+00,2026-02-07 07:28:47.044018+00,7,,0.00,f,t
184,Coral,coral,coral,t,2026-02-07 07:30:14.598923+00,2026-02-07 07:30:14.59893+00,7,,0.00,f,t
185,Ballad,ballad,ballad,t,2026-02-07 07:30:38.549295+00,2026-02-07 07:30:38.549301+00,7,,0.00,f,t
186,Ash,ash,ash,t,2026-02-07 07:31:06.395762+00,2026-02-07 07:31:06.395768+00,7,,0.00,f,t
6,Shimmer,shimmer,Shimmer,t,2025-07-05 09:48:47.052234+00,2026-02-07 07:35:52.292927+00,7,,0.00,f,t
3,Fable,fable,fable,t,2025-07-05 09:47:20.147568+00,2026-02-07 07:36:08.294148+00,7,,0.00,f,t
187,Priya,Priya,Priya,t,2026-02-07 20:44:15.168905+00,2026-02-07 20:44:15.168911+00,20,,0.00,f,f
188,Simran,Simran,Simran,t,2026-02-07 20:44:49.133726+00,2026-02-07 20:44:49.133732+00,20,,0.00,f,f
189,Kavitha,Kavitha,Kavitha,t,2026-02-07 20:45:54.843069+00,2026-02-07 20:45:54.843076+00,20,,0.00,f,f
190,Rachel,21m00Tcm4TlvDq8ikWAM,rachel,t,2026-02-09 05:53:43.248623+00,2026-02-09 05:53:43.248631+00,34,,0.00,f,f
